column_1,column_2,column_3,column_4
-347,1389,3840,-331
247,-1450,-1570,1351
533,-1486,342,-424
-860,-2840,-548,-1638
-268,-1359,-1567,122
171,-3472,-2017,938
613,1309,-189,-1961
661,-1044,-1935,-535
360,3237,4671,-1870
844,605,3898,-1478
2,1050,4814,1564
953,-2723,-1525,-2200
152,2829,3824,-2134
-720,-1988,1151,727
-196,1467,722,638
75,503,4036,1782
-679,-3616,1292,-1981
-732,-1643,3226,-1894
-185,1355,2016,-353
42,40,2389,803
179,-65,5094,-290
-738,-3628,-1569,-258
811,3772,-1139,-314
933,-2919,5062,1808
-64,-3630,-609,-560
-843,3035,-2847,849
218,3503,3282,-715
237,-3139,2322,-883
17,-1543,-2140,962
827,-4519,2137,2014
-325,-103,-743,777
-704,915,-205,234
946,-880,-2905,-1758
387,3039,-2127,1936
-794,3409,840,-568
820,553,2178,-1014
137,-612,5117,730
-884,-1805,-3301,33
-74,-3298,1917,-128
-577,-527,2043,-1923
757,-647,4452,-2122
-863,-4111,2466,-2164
-865,4118,-1212,-908
929,1119,-3843,1052
266,-3874,-282,-1611
493,734,-342,-324
334,1817,-3792,1546
83,2147,-8,-441
-437,4618,5142,-2038
754,606,-2267,-1497
-15,3349,-1750,2186
839,-980,-3424,795
-20,-3124,4891,1355
340,-777,1470,-493
830,-3322,-5217,-1741
-844,-547,-573,1199
-288,-3915,-3250,998
294,2106,2192,1270
-528,3362,-665,-1612
441,4600,-3036,756
-399,-4254,-2055,-1600
-886,-498,553,1434
671,-831,-1071,-2013
-384,1546,1005,386
-81,-2361,-909,-852
-66,376,3975,1126
159,-663,-4041,-35
-778,1000,-3223,-856
242,4070,-421,-50
31,-142,4068,14
693,121,4142,1686
597,-2745,-4085,1437
-501,-2150,-1266,1122
448,-1097,1990,-559
-97,53,-2630,-1033
456,-3600,41,-329
-510,-494,-4851,284
-359,1372,456,-77
273,774,-3353,2132
-271,588,2221,-1262
671,4170,4805,2013
271,-4607,4406,830
22,2785,-5205,-243
-228,-3266,-3363,-1821
214,2653,2202,1461
111,-1806,-2908,1983
858,-921,-5168,-456
637,-2483,-1102,1742
-180,4475,404,2088
-326,-2333,3635,-1959
-130,-1513,-173,-919
444,-4559,-2926,-256
-115,4578,153,-2092
-732,2739,-4294,1273
-423,2591,499,1616
685,-3864,-2403,774
-816,3759,-2594,530
-711,1875,472,-1348
-201,642,107,-1618
-860,131,-4716,-966
-466,-2603,-1335,33
-65,2754,322,-2134
-348,2514,2947,434
944,-2713,-3507,-322
372,334,3882,627
217,-2615,4570,-148
-899,-3394,4109,-579
213,-3735,-2953,-264
-298,-1331,4580,580
829,3042,-1681,1071
-202,-3553,-1811,-411
-165,-3841,2090,-779
188,-305,871,-242
658,-3378,463,-2084
740,2432,4691,521
-316,2892,4058,-1399
-627,-3403,-2412,1024
331,-1128,1703,2186
670,4031,3348,1582
338,490,-1047,795
590,-1818,172,-33
609,-2890,2494,-479
-215,1074,-2085,1662
-690,-772,719,1341
-412,-2170,-1820,-275
-20,3486,2992,1981
-402,370,3537,1898
589,1055,-2909,-1868
150,-1638,-2890,-1875
-777,260,3112,192
-37,-2632,-1426,-68
-747,874,-5206,-1227
600,2026,4561,-367
780,716,1543,1420
113,-1981,-957,1367
25,967,-3027,785
449,3724,-1931,1516
803,-3369,2211,0
201,1850,4836,-985
779,-3778,-4246,-1025
482,-2427,3163,1470
858,-582,4,-779
809,1421,878,1447
764,-4337,3988,-1825
521,-1734,-3729,589
-568,2594,-1348,2006
354,-2012,186,1398
923,1623,-5097,949
-561,2137,-4857,1615
-218,-3850,2860,1294
379,3712,-1745,-561
514,-3267,-4566,-1301
-887,3608,952,-788
-698,1025,1877,-1870
-600,776,-1116,-1731
318,1051,1098,-93
91,2404,295,710
801,1617,-2726,-667
-435,-1785,-2939,1405
-697,3479,-4100,1121
604,-4153,4725,-2054
98,902,-2350,-812
-641,685,-4907,694
-622,-2526,3605,954
-579,-1908,-1668,221
518,-3221,4151,-1890
464,-2466,4082,-2071
529,4065,3195,994
44,-3302,-994,1129
602,-1896,-3559,-673
851,-579,926,450
94,-3476,2242,414
-325,-1184,4125,1686
361,3682,-5020,-19
-180,-3414,2511,-488
-199,-2247,-78,1529
687,3318,-4759,1855
-245,-4193,-203,-284
-36,-1932,2070,-585
-304,3562,2270,-951
248,-925,4158,-1175
-40,-1822,4655,732
-472,-1301,4205,-1625
-669,-3908,-4689,-1841
-957,1464,4257,1635
56,-2604,2627,2076
170,1475,-830,1566
-259,1458,1498,-1046
135,2465,-4063,-475
670,1103,-203,-1114
-908,990,-4,-535
-529,-2933,-4115,-821
-819,-3361,1141,-1405
-328,-2767,-2950,-1228
545,-2318,4450,17
-781,-3117,-4897,-612
-172,-886,2299,1007
-463,-4110,-3430,-1504
596,2847,-3739,-614
-898,2123,-2566,-2192
512,3759,-336,-1964
65,-3575,-1100,2108
175,4119,-81,-1686
815,-3761,-3296,-655
587,-906,754,-464
920,-126,-5022,-798
-653,1629,5022,1074
735,-2654,808,1528
-363,-1383,4900,-189
540,1731,2541,1378
156,-1857,-393,408
467,-809,-953,2180
-162,-4208,2671,-2184
246,2542,-1826,-1543
-342,-445,1450,-2198
-518,-4076,3026,-81
-371,-2393,-2281,1853
-849,-1724,1613,1477
321,-3027,3633,-1913
390,-3989,-3855,551
568,-182,3059,-2109
-452,-4184,-5092,476
664,-4123,1022,-1464
224,-2110,1280,857
-504,243,-899,-1456
148,2333,-83,-1853
43,-628,5031,626
912,906,-3047,1808
-106,763,630,2091
643,2363,5186,-1042
-777,-3300,2760,-1406
96,-3356,-3048,-2122
879,-3193,2418,1708
327,585,-5159,-1846
-938,-421,-2238,335
-874,2619,-3563,281
-755,2774,1723,2139
410,-1971,3535,1055
-180,2281,-2553,-77
801,-2243,4557,-123
-643,899,1091,958
428,3779,-78,353
-73,1033,1176,-214
903,3197,3828,-1244
762,2153,1587,2027
398,3616,4908,-494
-526,-3413,100,-1566
76,3066,-3876,-566
-783,758,4339,-4
-514,-1465,-5000,-1228
-762,2044,3456,-1572
476,-2286,-816,-2174
-790,-3327,-1891,1640
-157,-1745,4010,-738
37,2492,3670,-371
-401,1673,564,735
-551,-1213,-2856,1870
865,2292,-3236,-248
-419,4540,2127,10
938,2012,4335,-527
-797,2632,869,-1481
-44,-2172,-590,-1917
-308,2488,2636,-687
381,4194,-181,-1429
884,-3430,-113,159
698,262,3721,-1217
15,548,-2583,-69
-39,4652,1156,852
-892,-2831,5062,-1932
-111,1290,2646,-1389
375,-544,-2214,-1887
757,4024,-4621,1033
308,1497,-1785,-2098
726,2828,-3125,1223
-18,3487,2264,421
97,2925,-3393,-1902
443,-4521,-4262,1831
293,-735,-2672,1869
741,-4599,2221,918
958,-3260,-2946,-196
305,2476,2920,-513
947,-842,-4686,2082
-118,-2824,4015,1468
-872,-2484,-2930,-1522
253,2025,3827,478
-133,3896,1983,-176
-735,-2290,760,-657
-78,-3526,-1320,1254
490,-265,-3568,-1206
758,-937,-4055,1301
-936,2248,1730,-825
-306,-2636,1094,603
-426,-3106,-1066,-1869
98,-332,5207,-438
-449,4359,-4833,946
-230,-2501,1946,237
-227,2777,-4155,1120
-622,-1041,-1672,1550
-528,884,1849,-49
7,-1659,-337,-1942
-495,2202,1348,169
-426,-1164,1610,-826
36,514,3442,910
619,-2418,-2297,535
-451,-2310,3465,-683
297,-4558,2958,-1639
-937,-864,-5054,-1271
-244,229,-2312,828
145,1772,-537,1532
132,1799,1707,-1835
-789,206,-3529,-1517
245,2698,4114,451
-681,3279,-1578,622
862,1426,-3084,-628
597,1701,4369,-1689
921,3300,-3251,-1093
271,762,3147,759
112,-1236,2005,-1294
-65,-225,522,-1841
-442,-2048,1732,-1243
-395,4628,3491,-1441
193,2338,2201,-912
940,3828,729,1384
782,-469,-3881,1046
-948,-192,-4251,-242
-236,3026,3177,410
-814,-4437,3015,791
938,-262,-4988,-243
-769,-4339,-4874,2136
794,-2148,698,-446
804,-3789,4036,1667
846,-1246,-1297,637
-423,1764,1910,-1375
822,4497,2538,-2160
44,-3032,-470,-2060
-493,4602,4626,-367
870,4013,1225,1641
477,-3382,-3298,-1924
625,3437,-2122,1988
-295,2273,3307,-1705
829,-4160,5099,1038
213,-3277,-3223,2016
-554,1650,5063,-1604
-35,2882,1017,1939
674,3339,3566,207
570,1132,-3287,1855
246,648,4086,-2111
-687,3505,-3985,1399
-807,-1891,-2695,-67
610,-3854,-4424,-772
-394,-1578,-3820,-338
480,4143,3093,94
-547,-2014,3728,-2165
650,3038,-1571,-607
-929,-3842,-416,614
-910,-667,-4064,291
26,2328,-562,-1870
-489,3063,4349,-1534
119,-1718,716,-821
-620,-1932,-4769,1055
-682,1113,-3148,-1166
-119,-2125,1689,-1654
210,-19,-226,217
-770,4196,-3746,-306
572,695,-1720,-185
-595,4058,3675,-1463
-899,1599,3407,1136
886,1437,1542,792
-954,-2034,295,-1662
-472,-1547,-224,2067
568,4424,-4,-817
-67,855,3755,1041
80,198,2704,1712
-718,-3820,3522,-898
-912,4589,3123,1483
58,-2732,577,84
-272,-3838,-5186,363
856,2481,-3725,-1293
327,3676,-1487,-1613
555,2449,2289,247
-707,3517,-2500,937
-638,-3508,194,1427
575,4106,1586,1037
-316,-1360,2670,-1476
526,987,-4969,-1067
390,2468,-1933,1226
833,625,-4549,-1338
-319,763,-3502,-54
389,3401,-2704,-592
-145,2709,3636,-1074
101,1613,-65,2131
316,4392,-2861,1202
-737,1960,1739,-568
-108,1093,-3298,483
-464,2127,1536,-1215
238,215,828,-531
-30,-2913,5096,1246
274,1651,-3528,-1879
610,-2098,3139,-1390
130,-4560,-1083,330
-788,-479,-220,235
295,-3788,-3098,624
162,3731,241,-1903
585,352,-144,1130
663,-2387,650,-1381
571,-2240,3102,-85
480,-383,1351,464
-441,-1243,2767,544
617,-4031,-190,852
360,657,-4557,-286
495,-3837,-665,-232
324,3761,-2392,-959
-868,-3220,343,-889
441,-4453,299,-1230
-850,-2510,-3650,403
-12,-4445,4536,-1421
577,3237,-2434,-267
552,-148,-3277,1381
-712,-1353,-2723,-335
-830,4469,4260,-778
-834,3089,5210,-660
920,-4211,-3006,1272
-939,4331,1133,2126
-952,840,-4007,1058
603,-4462,3599,-153
236,145,-886,-959
611,3844,-4433,-2055
-161,-1755,-3771,331
-716,-1592,374,138
48,2113,378,-1860
-30,2630,-3864,-207
647,-4603,-4973,-2144
-196,-1738,4393,1455
-874,3149,-541,1992
-291,-2901,-496,202
-737,-2384,835,-344
-236,-3298,-2596,825
-3,188,-4798,185
-93,2953,183,1747
46,-4147,-4382,-458
828,155,-666,-148
698,3883,-2259,-509
-595,4311,-1512,1675
127,3024,51,215
-154,3151,4485,123
-514,-2760,-4466,-1787
545,1586,-175,-1340
860,-89,-3232,-1963
179,-2022,2449,-1053
-836,-2955,1663,423
-346,2371,-4422,1477
-283,2507,-1619,1750
719,4319,-3361,430
761,1461,-1890,473
463,-3416,3249,2157
-756,-3410,-1234,169
-402,-674,-3343,-573
-421,870,-1382,-736
-201,-1345,-354,-577
-179,-1232,-3686,574
926,3705,1491,1173
-285,336,-4730,-1141
-62,-1165,2482,1961
-225,-409,4043,-816
746,-2591,5156,-1306
167,-1404,4407,1001
-888,-1227,-4202,-54
-496,2495,2513,1786
-356,2603,5038,468
-202,196,-3655,1075
576,2601,-4116,227
465,774,-1541,-1575
-63,4498,-3575,-1163
680,3712,-394,314
-21,-4430,-2835,1564
-119,-504,-674,-92
-191,-895,2967,-1433
-490,2107,-2348,-177
-181,3489,-1280,-1330
-638,-4151,-320,-2084
118,1124,-3581,123
696,1326,4956,-430
740,-1353,10,-2094
-826,3368,-1080,-2006
449,4586,488,1173
-151,323,4262,-851
369,-1007,661,1584
554,4143,1162,-585
-666,2287,-1028,1541
-354,1071,-1040,1805
574,2523,-288,362
-114,2203,-4668,-470
517,2540,3150,-860
520,-1566,-4074,-2044
-883,831,-1959,1347
-467,-2306,-81,-1912
495,1951,2541,-1890
19,-1882,-4859,-1036
-224,3024,-4251,-1765
-321,1046,-2094,1030
-883,-2149,-4218,-1062
-215,3265,-1468,-1798
592,-4635,2686,1052
649,717,1358,-2172
-367,116,964,966
314,969,2211,488
-623,2425,-3600,2005
615,-972,-4384,-1850
-691,1125,4802,816
-599,-1273,-5104,-1774
788,-1278,-2007,-135
-643,-2716,57,-527
-11,-137,3584,1753
514,2073,4400,-1671
924,1140,-1467,-1155
-383,3026,313,776
-377,-2454,-75,-1211
898,-2405,-3212,-1482
608,2226,-3673,-1826
-217,-358,-4461,1570
257,-267,-1832,-1158
639,-3395,-130,-1913
354,-1556,2508,1952
94,4332,1674,-1329
-537,849,-3561,96
-830,779,-1809,-113
-774,-157,-3558,-69
630,4251,213,424
554,-2772,2429,1143
-433,2812,-1370,828
350,-3791,2865,920
5,-2893,-2639,-1791
-887,2357,-4019,638
-81,3553,-310,-700
918,-1669,-1885,71
230,-194,-2871,-1522
-924,-2714,-4330,-1700
382,-699,4985,-1217
839,-4054,-4983,-1095
-684,99,3093,838
57,-1936,-1859,1467
-676,-627,2051,1831
-199,3010,-2496,554
620,2795,4093,-200
776,322,4180,-39
-936,-2004,-2923,-1904
958,1587,-1272,-519
-687,-2913,167,-2107
-582,-719,4129,2149
-431,3606,-4133,2028
113,74,992,1396
-491,2814,1979,-1653
-859,-2360,-2742,-1916
-927,3842,-2360,-2044
717,4269,-2312,1308
716,1316,3495,-561
-223,-4355,4409,375
481,-3382,2164,-1997
366,-3367,-3543,656
-588,-3255,1372,1871
124,4578,3347,-1229
125,593,4676,1729
-697,3927,4048,-527
907,-1529,4687,-1027
-509,-4167,-5029,-1202
-592,4576,336,-886
-777,477,-1119,-1306
112,-1101,-3458,-1301
-621,-1558,3292,-163
708,-1265,403,-2142
-768,3742,578,2037
402,1603,3052,-820
52,-2755,4814,364
645,3711,-591,-1821
522,732,1574,-1644
-816,-1045,656,944
-561,1160,968,-1485
-449,-2826,-2455,1722
-728,-1641,446,-1835
186,3090,-5141,-1851
-588,448,-31,1868
229,1291,-1138,723
435,470,-649,-1823
-597,-2778,1308,-1705
-561,-693,4190,-823
-668,-4247,-820,999
-256,4398,1398,-385
745,1711,4316,-1963
-947,1992,343,460
-43,-3118,-4934,-472
607,3039,2928,-493
116,-4379,3704,-908
-521,-1113,2455,-1142
-615,-3191,-3597,1073
596,3228,-4240,923
758,2123,2246,-1820
-820,1127,2333,-1447
589,-2140,4987,947
-423,3567,1550,-213
-768,-2866,3671,279
-108,2699,-2551,-1541
-418,3936,-3187,1827
279,-577,3835,-988
-362,865,4698,-885
562,4240,-3627,-1489
388,-2341,-4972,90
325,1388,-2091,865
-682,1719,-5114,1451
431,-3511,-2803,1855
110,-2777,-4161,-1747
761,-728,-2538,145
-20,-3291,-3723,2168
657,2809,4113,-415
49,-4302,3731,2194
873,-1497,-758,-1544
111,1018,-2575,-1679
-640,-299,-4877,-63
